Time,station_id,Taxi,Bus,Cargo,Private_Veh
1500-1600 ,3026,22.6,2.3,18.6,52.2
1600-1700 ,3026,18.4,1.3,20.2,54.7
1700-1800 ,3026,18.4,1.8,16.4,56.9
1800-1900 ,3026,19.6,1.7,8.0,65.4
1900-2000 ,3026,23.2,0.7,6.699999999999999,63.2
2000-2100 ,3026,30.1,1.1,8.2,54
2100-2200 ,3026,35.1,0.4,10.7,46.9
2200-2300 ,3026,30.9,0.4,12.600000000000001,50.8
0700-0800 ,4404,42.9,0,32.2,21.4
0800-0900 ,4404,31,0,31.0,35.7
0900-1000 ,4404,35.3,0,39.2,21.6
1000-1100 ,4404,53.6,0,26.8,17.9
1100-1200 ,4404,47.3,0,23,25.7
1200-1300 ,4404,45,1.3,25.0,26.3
1300-1400 ,4404,49.1,0,17.5,28.1
1400-1500 ,4404,45.6,0,17.6,29.4
1500-1600 ,4404,40.3,0,13,39
1600-1700 ,4404,39.4,0,15.5,39.4
1700-1800 ,4404,39,0,5.1,44.1
1800-1900 ,4404,43.5,0,5.8,44.9
1900-2000 ,4404,53.1,0,4.7,34.4
2000-2100 ,4404,43.1,0,9.7,34.7
2100-2200 ,4404,48.8,0,6.0,41.7
2200-2300 ,4404,57.4,0,4.3,34
0700-0800 ,2404,51.9,0,17.3,23.8
0800-0900 ,2404,49.8,0,18.4,20.3
0900-1000 ,2404,33.1,0,26.2,29
1000-1100 ,2404,28.9,0,28.799999999999997,27.5
1100-1200 ,2404,40,1.6,19.200000000000003,28.8
1200-1300 ,2404,30.9,0,24.5,23.2
1300-1400 ,2404,24.1,0,22.1,40.2
1400-1500 ,2404,21.7,0,18.6,54.3
1500-1600 ,2404,22,0,24,40
1600-1700 ,2404,10.8,0,10.8,68.5
1700-1800 ,2404,34.1,0,7.3,39
1800-1900 ,2404,31.5,0,1.1,37
1900-2000 ,2404,38.6,1.9,2.9,31.8
2000-2100 ,2404,40,2.1,4.2,37.9
2100-2200 ,2404,49.2,0,8.6,25.7
2200-2300 ,2404,40.3,0,2.9,48.9
0700-0800 ,2214,23.8,6.7,8.299999999999999,28.1
0800-0900 ,2214,21.7,2.9,6.2,50.1
0900-1000 ,2214,25.7,0.7,8.9,44.7
1000-1100 ,2214,29.8,0.5,15.5,39
1100-1200 ,2214,30,0.5,13.399999999999999,38
1200-1300 ,2214,29.6,1.9,10.700000000000001,41.4
1300-1400 ,2214,23.4,3.1,10.7,42.7
1400-1500 ,2214,23.2,1,15.5,40.7
1500-1600 ,2214,22.2,0.9,11.4,47.8
1600-1700 ,2214,19.5,2.1,9.4,49.7
1700-1800 ,2214,18.8,0.5,9.8,46
1800-1900 ,2214,22.2,0.5,3.7,49
1900-2000 ,2214,23.6,0,3.3000000000000003,49.9
2000-2100 ,2214,28.7,0,4.3999999999999995,38.1
2100-2200 ,2214,25.7,0,3.0999999999999996,43.1
2200-2300 ,2214,31,0,5.2,38.9
0700-0800 ,2203,27,3.2,5.6,57.1
0800-0900 ,2203,11.8,1.7,9.1,73.6
0900-1000 ,2203,16.3,1.1,15.8,62.1
1000-1100 ,2203,15.4,1.2,22.799999999999997,55.6
1100-1200 ,2203,12.6,2.3,22.4,57.9
1200-1300 ,2203,18.3,3.1,14.7,60.6
1300-1400 ,2203,15.7,0.7,18.3,61.3
1400-1500 ,2203,21,0.9,14.0,62
1500-1600 ,2203,18.7,6.2,15.6,54.5
1600-1700 ,2203,15.2,1.9,12.0,67.1
1700-1800 ,2203,10.6,1.1,7.8,76.1
1800-1900 ,2203,21.6,0.6,2.8,71
1900-2000 ,2203,17.7,0.8,0.8,78.5
2000-2100 ,2203,20.1,3.3,6.7,63.6
2100-2200 ,2203,36.1,0,4.5,54.1
2200-2300 ,2203,26,1.6,0,61.8
0700-0800 ,5003,6.4,2.2,30.6,55.8
0800-0900 ,5003,4.3,1.2,33.3,57.9
0900-1000 ,5003,4.8,1,43.6,48.4
1000-1100 ,5003,5.9,0.7,48.4,42.6
1100-1200 ,5003,6.5,0.5,49.8,40.8
1200-1300 ,5003,6.6,0.4,48.0,43.1
1300-1400 ,5003,6.2,1.5,48.5,42.2
1400-1500 ,5003,5.4,1.1,48.2,42.8
1500-1600 ,5003,5.7,1,48.6,42.5
1600-1700 ,5003,4.5,1.4,44.0,47.8
1700-1800 ,5003,6,1.7,31.8,55.9
1800-1900 ,5003,5.2,2.1,18.8,71.2
1900-2000 ,5003,5.5,0.8,23.2,67.9
2000-2100 ,5003,7.8,1,17.6,70.7
2100-2200 ,5003,9.6,0.8,18.8,67.4
2200-2300 ,5003,8.9,0.6,18.3,68
0700-0800 ,2207,33.3,2.4,25.9,13.8
0800-0900 ,2207,31.3,5,15.700000000000001,26.6
0900-1000 ,2207,30.7,0.7,15.700000000000001,38.3
1000-1100 ,2207,25.7,0.3,24.400000000000002,37.5
1100-1200 ,2207,25.3,0.2,22.2,38.4
1200-1300 ,2207,28,0.7,17.5,39.7
1300-1400 ,2207,25.8,0.5,15.700000000000001,43.5
1400-1500 ,2207,26,0.7,20.200000000000003,39.3
1500-1600 ,2207,19.4,0.6,18.6,48.3
1600-1700 ,2207,18.4,0.5,17.3,49.8
1700-1800 ,2207,27.2,0.2,8.7,47.8
1800-1900 ,2207,23.8,1.6,3.9000000000000004,51.2
1900-2000 ,2207,32.3,0.4,2.7,46.5
2000-2100 ,2207,38.5,0.3,3.6,35.5
2100-2200 ,2207,35,0,3.4,41.6
2200-2300 ,2207,43.7,0,2.7,34.8
0700-0800 ,6203,29.9,0.3,16.3,33.5
0800-0900 ,6203,21.2,1.2,18.8,45.9
0900-1000 ,6203,27.8,0.2,23.599999999999998,38.8
1000-1100 ,6203,28,0.2,25.3,36.8
1100-1200 ,6203,22.2,0.6,24.7,39.9
1200-1300 ,6203,17.7,1,26.2,42.9
1300-1400 ,6203,19.2,1.6,28.3,40.2
1400-1500 ,6203,16.3,1.8,30.0,42.5
1500-1600 ,6203,28.3,0.5,26.0,35.3
1600-1700 ,6203,22.8,0.7,20.099999999999998,42.7
1700-1800 ,6203,19.1,0,17.4,48.9
1800-1900 ,6203,19.4,0.6,11.600000000000001,51.5
1900-2000 ,6203,20.1,0.9,6.4,57.8
2000-2100 ,6203,25.7,0.6,6.3,50.7
2100-2200 ,6203,28.1,0,7.9,46
2200-2300 ,6203,31.6,0.8,7.6,40.8
0700-0800 ,3002,16.8,2.2,25.3,43.2
0800-0900 ,3002,13.9,1.7,22.1,53.4
0900-1000 ,3002,16.4,1.3,31.6,42.5
1000-1100 ,3002,16.2,0.5,41.1,35.6
1100-1200 ,3002,16.3,0.6,40.3,36.4
1200-1300 ,3002,14.5,0.6,37.3,40.2
1300-1400 ,3002,13.4,1.6,39.2,36.7
1400-1500 ,3002,12.8,1.7,41.0,36.6
1500-1600 ,3002,14.9,0.3,43.0,34.8
1600-1700 ,3002,14.8,1.3,37.300000000000004,38.4
1700-1800 ,3002,11.8,0.7,30.6,45.6
1800-1900 ,3002,8.8,1.2,15.3,66.3
1900-2000 ,3002,14,2.7,15.0,58
2000-2100 ,3002,19.8,1.2,15.0,55.8
2100-2200 ,3002,23.4,1.3,13.7,50.7
2200-2300 ,3002,23.7,1.1,12.4,54
0700-0800 ,2210,42.9,0,19,33.3
0800-0900 ,2210,34.1,0,13.6,40.9
0900-1000 ,2210,12.7,0,20.6,61.9
1000-1100 ,2210,13.2,0,24.5,54.7
1100-1200 ,2210,26.8,0,21.1,40.8
1200-1300 ,2210,25.4,0,9.5,52.4
1300-1400 ,2210,15.8,0,14.100000000000001,54.4
1400-1500 ,2210,14.5,0,19.4,56.5
1500-1600 ,2210,13,0,23.9,52.2
1600-1700 ,2210,12.8,0,10.6,66
1700-1800 ,2210,26.9,0,10.5,50.7
1800-1900 ,2210,45.5,0,4.5,40.9
1900-2000 ,2210,47.1,0,3.5,37.6
2000-2100 ,2210,52.8,0,5.699999999999999,24.5
2100-2200 ,2210,53.8,0,5.1,28.2
2200-2300 ,2210,45,0,7.5,45
0700-0800 ,1025,13,2.8,9.200000000000001,64.9
0800-0900 ,1025,10.3,2,13.9,66.1
0900-1000 ,1025,12.8,1,20.9,59.3
1000-1100 ,1025,16.9,1,23.6,53.8
1100-1200 ,1025,19,1.5,23.099999999999998,51.5
1200-1300 ,1025,16.9,1.1,22.0,55
1300-1400 ,1025,15.8,1.9,22.9,53.9
1400-1500 ,1025,18.4,1.5,25.400000000000002,50.8
1500-1600 ,1025,16.8,1.6,20.599999999999998,55.5
1600-1700 ,1025,14.9,1.3,21.400000000000002,55.5
1700-1800 ,1025,10.5,1.2,14.2,66.8
1800-1900 ,1025,14.1,1.1,8.8,67.9
1900-2000 ,1025,14,0.9,4.2,75.4
2000-2100 ,1025,22.4,0.7,4.2,66.3
2100-2200 ,1025,26,0.3,3.1,64.3
2200-2300 ,1025,34.6,0,2.8,55.5
0700-0800 ,2209,12.1,0,24.2,12.1
0800-0900 ,2209,15.2,0,27.299999999999997,3
0900-1000 ,2209,2.5,0,42.3,19.9
1000-1100 ,2209,21.7,0,24.8,29.5
1100-1200 ,2209,7.5,0,26.4,24.5
1200-1300 ,2209,5.9,0,15.8,31.5
1300-1400 ,2209,12.1,2,16.2,30.3
1400-1500 ,2209,16.3,0,6.5,37.6
1500-1600 ,2209,5.3,0,10.7,49.8
1600-1700 ,2209,8.2,0,11.4,42.4
1700-1800 ,2209,25.1,0,6.9,35.4
1800-1900 ,2209,9.5,0,4.7,31.6
1900-2000 ,2209,24.5,0,2.9,36.1
2000-2100 ,2209,41.3,0,0,23.6
2100-2200 ,2209,24,0,5.3,26.7
2200-2300 ,2209,12,0,3,27.1
0700-0800 ,5034,9,2.8,29.900000000000002,47.9
0800-0900 ,5034,9.4,2.2,30.799999999999997,49.2
0900-1000 ,5034,11,1.4,38.4,42
1000-1100 ,5034,13.7,0.6,45.599999999999994,33.3
1100-1200 ,5034,12,0.9,43.8,37.2
1200-1300 ,5034,11.1,1.4,40.1,40.6
1300-1400 ,5034,10.8,1.5,42.0,39.8
1400-1500 ,5034,9.5,1.6,44.0,38.7
1500-1600 ,5034,9.6,1.6,43.0,38.9
1600-1700 ,5034,10.8,2,37.7,42.4
1700-1800 ,5034,8.1,1,32.7,48
1800-1900 ,5034,8.4,1.5,22.0,58.1
1900-2000 ,5034,10.1,1,15.2,64.4
2000-2100 ,5034,14.8,1.8,15.8,59
2100-2200 ,5034,12.5,2.2,16.3,58.5
2200-2300 ,5034,22.2,1,11.8,55.5
0700-0800 ,5037,16.5,2.1,28.4,43.8
0800-0900 ,5037,15.9,2.6,25.099999999999998,52.2
0900-1000 ,5037,15.9,1.1,33.4,47.2
1000-1100 ,5037,16.5,1.2,37.8,40.6
1100-1200 ,5037,17.5,1.2,37.5,40.4
1200-1300 ,5037,12.8,1.4,35.5,46.8
1300-1400 ,5037,14.9,1.1,39.1,40.4
1400-1500 ,5037,12.5,1.2,39.4,43.5
1500-1600 ,5037,11.7,2.6,38.4,43.9
1600-1700 ,5037,14.1,1.2,31.9,49.8
1700-1800 ,5037,13,1.7,28.7,51.8
1800-1900 ,5037,10.1,1.5,16.6,66.9
1900-2000 ,5037,12.9,0.8,10.399999999999999,71.7
2000-2100 ,5037,13.3,0.9,15.2,65.9
2100-2200 ,5037,16.8,0.4,17.0,59.2
2200-2300 ,5037,20.1,1.3,10.1,64
0700-0800 ,2215,28.3,5.1,27.6,27
0800-0900 ,2215,17.1,3,26.3,42.6
0900-1000 ,2215,17.4,1,36.4,36.2
1000-1100 ,2215,21.6,1,39.4,30.2
1100-1200 ,2215,19.9,2,39.6,28.2
1200-1300 ,2215,16.8,3.5,36.7,35.3
1300-1400 ,2215,15.6,3.5,39.300000000000004,33.6
1400-1500 ,2215,18.5,2.6,36.1,34.9
1500-1600 ,2215,23.2,1.3,33.8,33
1600-1700 ,2215,21.2,3.4,29.9,36.6
1700-1800 ,2215,14.7,2.1,22.7,49.7
1800-1900 ,2215,15.4,2.9,13.5,58.6
1900-2000 ,2215,18,1.6,10.1,59.5
2000-2100 ,2215,26.1,1,10.2,49.3
2100-2200 ,2215,31.7,0.9,7.7,51.3
2200-2300 ,2215,31.6,1.7,8.9,45.7
0700-0800 ,4401,10,5,10,40
0800-0900 ,4401,12.3,0,1.4,80.8
0900-1000 ,4401,14.9,0,17,66
1000-1100 ,4401,31.1,0,11.1,53.3
1100-1200 ,4401,6.5,0,22.6,61.3
1200-1300 ,4401,14.6,4.2,6.3,68.8
1300-1400 ,4401,18.9,1.9,9.4,54.7
1400-1500 ,4401,17.4,0,19.6,56.5
1500-1600 ,4401,19,0,7.1,66.7
1600-1700 ,4401,19.5,0,4.9,68.3
1700-1800 ,4401,19.6,0,10.7,62.5
1800-1900 ,4401,15.6,0,2.2,73.3
1900-2000 ,4401,18,0,4,72
2000-2100 ,4401,33.3,0,4.8,57.1
2100-2200 ,4401,40,0,10,40
2200-2300 ,4401,19,0,0,76.2
0700-0800 ,1031,25.2,2.3,21.4,40.8
0800-0900 ,1031,23.8,3.1,16.8,49.4
0900-1000 ,1031,25.3,0.6,17.8,52.3
1000-1100 ,1031,21.9,0.5,26.0,46.9
1100-1200 ,1031,19.9,1.3,28.5,44.7
1200-1300 ,1031,18.2,2.5,26.799999999999997,47.9
1300-1400 ,1031,22.5,2.2,22.9,47.9
1400-1500 ,1031,22.3,1.4,26.4,46.9
1500-1600 ,1031,23.3,1.1,22.3,48
1600-1700 ,1031,22.7,1.3,20.0,47.5
1700-1800 ,1031,19.1,3.6,18.900000000000002,49.5
1800-1900 ,1031,22.5,2.7,6.4,61.2
1900-2000 ,1031,21.6,2.2,8.5,64.4
2000-2100 ,1031,31,0.7,4.3,60.4
2100-2200 ,1031,29.2,1.2,10.2,52.6
2200-2300 ,1031,26.6,1.3,8.7,55.7
0700-0800 ,2206,27.1,8.2,21.4,26.3
0800-0900 ,2206,10.6,2.2,20.2,49.9
0900-1000 ,2206,13.9,2.3,27.2,42.7
1000-1100 ,2206,16.9,0.7,29.1,39.9
