Time,station_id,Taxi,Bus,Cargo,Private_Veh,num_Taxi,num_Bus,num_Cargo,num_Private_Veh,frac_Taxi,frac_Bus,frac_Cargo,frac_Private_Veh,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,latitude,longitude
1900-2000 ,1001,56.9,1.4,1.0,48.9,1040.1319999999998,25.592,18.28,893.8919999999999,0.06756445838174296,0.060027630724051616,0.007962855110449767,0.055941901009047224,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
2000-2100 ,1001,48.1,1.0,0.4,49.9,736.4110000000001,15.31,6.1240000000000006,763.969,0.0478354769984557,0.03591055901786614,0.0026676435829537403,0.047811008681116735,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
2100-2200 ,1001,49.9,0.4,0.7,48.9,696.105,5.58,9.764999999999999,682.155,0.04521729674870419,0.013088237708667084,0.004253680533563564,0.04269089272845781,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
2200-2300 ,1001,45.3,0.6,0.0,56.2,541.3349999999999,7.17,0.0,671.59,0.03516381197586539,0.01681768178694319,0.0,0.042029709739729214,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
0700-0800 ,1002,42.8,4.4,32.6,50.0,709.624,72.95200000000001,540.508,829.0,0.049889331123822524,0.1327783308792615,0.042209113425727626,0.060578894546978755,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
0800-0900 ,1002,47.4,3.2,35.9,50.0,1056.072,71.296,799.852,1114.0,0.07424597490868051,0.12976428169711354,0.06246169120863168,0.08140517313068074,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
0900-1000 ,1002,43.6,1.1,49.6,33.9,963.124,24.299000000000003,1095.664,748.8509999999999,0.06771136848429654,0.0442260755295972,0.08556211203624448,0.054722033486609874,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1000-1100 ,1002,37.8,0.9,51.4,32.8,873.9359999999999,20.808000000000003,1188.368,758.3359999999999,0.06144110470478586,0.03787218320177203,0.09280151210251297,0.05541514665280781,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1100-1200 ,1002,43.3,1.4,54.0,30.7,995.9,32.199999999999996,1242.0,706.1,0.07001564894396871,0.05860651187509896,0.09698971869936006,0.05159801862439289,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
1200-1300 ,1002,43.9,2.2,49.0,33.6,993.896,49.80800000000001,1109.36,760.7040000000001,0.06987475993856283,0.09065444544953198,0.08663165405500972,0.055588187451706794,549.0,318.0,195.0,161.0,156.0,230.0,755.0,1658.0,2228.0,2209.0,2312.0,2300.0,2264.0,2148.0,2245.0,2145.0,2074.0,1948.0,1824.0,1828.0,1531.0,1395.0,1195.0,915.0,22.2804156,114.164553
